city,property_type,area,bedrooms,bathrooms,balcony,hall,furnishing,property_age,sale_price,rent_price,amenities,parking,gym,swimming_pool,garden,security,lift,club_house,price_per_sqft,rent_per_sqft,gross_yield,latitude,longitude,address,listing_date
Delhi,Independent House,1450,3,2,0,1,Unfurnished,1-5 years,18551205.16458673,55827.925429537594,"Hall,Parking,Unfurnished,Garden",1,0,0,1,0,0,0,10022.585691447337,34.34216959075259,4.111773625848839,28.626293033915832,77.21680597930921,"147/H, Dwarka, Delhi",2023-08-07
Chandigarh,Studio,550,2,2,0,1,Furnished,New,2161166.143014458,5033.67877026371,"Hall,Furnished",0,0,0,0,0,0,0,3688.8544663904972,9.185809992748972,2.988182941812996,30.753613565540984,76.8094160195463,"250/A, Sector 8, Chandigarh",2025-12-16
Lucknow,Studio,600,2,1,1,0,Furnished,1-5 years,1942034.5701644807,5071.920786589906,"Balcony,Furnished",0,0,0,0,0,0,0,3336.58134895215,8.759465826556871,3.1503379934582827,26.866748139487576,80.93729543501429,"363/E, Indira Nagar, Lucknow",2025-06-18
Mumbai,Apartment,1400,3,2,0,0,Semi-Furnished,1-5 years,20666471.899338678,52140.065442117404,"Security,Lift,Semi-Furnished",0,0,0,0,1,1,0,11565.578774712225,27.956945097623397,2.9007051675183315,19.09187548205871,72.9022731663209,"380/E, Khar, Mumbai",2025-08-13
Mumbai,Independent House,2000,4,2,1,1,Furnished,5-10 years,44612991.63827507,192508.30859926395,"Parking,Garden,Balcony,Hall,Furnished",1,0,0,1,0,0,0,17855.865145110594,67.97233242436124,4.568067592713009,19.04582828567433,72.86354822534217,"85/G, Khar, Mumbai",2024-09-24
Chandigarh,Independent House,1400,3,2,1,1,Semi-Furnished,5-10 years,7580414.859104806,25500.083011148192,"Balcony,Hall,Parking,Semi-Furnished",1,0,0,0,0,0,0,5648.519111634318,20.9421579448608,4.449058069409946,30.748977868121457,76.75135953011836,"174/G, Sector 9, Chandigarh",2023-03-09
Lucknow,Apartment,900,3,2,1,1,Unfurnished,5-10 years,2506775.4913556254,11018.774965008985,"Security,Lift,Balcony,Hall,Unfurnished",0,0,0,0,1,1,0,3336.0631305772727,11.279733988743693,4.0573814873072305,26.87186049837624,80.93981460466236,"8/D, Indira Nagar, Lucknow",2023-04-09
Delhi,Independent House,2850,6,3,1,1,Semi-Furnished,1-5 years,39633646.07480509,238966.61184254813,"Balcony,Hall,Parking,Semi-Furnished",1,0,0,0,0,0,0,11385.920783055948,61.00262886019136,6.4292696240402,28.585509941670708,77.2166619216175,"156/F, Greater Kailash, Delhi",2023-10-04
Pune,Apartment,1750,3,2,1,1,Furnished,5-10 years,12918604.766561486,39825.46312463339,"Security,Lift,Balcony,Hall,Furnished",0,0,0,0,1,1,0,6083.312525211753,19.662736266899497,3.8786900101697586,18.51624575755558,73.82393951462701,"348/G, Kothrud, Pune",2024-09-27
Noida,Apartment,1300,4,3,0,0,Unfurnished,New,8363716.187018118,29427.43131195219,"Unfurnished,Security,Lift,Club House",0,0,0,0,1,1,1,5713.469178726502,21.252105595726825,4.463579992665078,28.559629500257806,77.36567456584585,"289/G, Sector 50, Noida",2025-02-28
Chennai,Apartment,1700,4,3,1,1,Unfurnished,5-10 years,9533201.776771365,36436.671972953714,"Security,Lift,Balcony,Hall,Unfurnished,Gym",0,1,0,0,1,1,0,4443.555270070225,18.507492046429377,4.998022778135551,13.075150923703688,80.27632955428797,"435/E, Besant Nagar, Chennai",2023-11-19
Hyderabad,Villa,5450,5,3,1,1,Unfurnished,New,57860901.67878545,445967.56511124887,"Parking,Security,Garden,Balcony,Hall,Unfurnished",1,0,0,1,1,0,0,11005.945056891267,72.14277686769975,7.865869927002215,17.354625695544186,78.4769670967396,"258/A, Gachibowli, Hyderabad",2024-06-23
Chennai,Independent House,2850,4,3,1,1,Semi-Furnished,5-10 years,25703094.946155295,138406.8119642431,"Balcony,Hall,Parking,Semi-Furnished",1,0,0,0,0,0,0,7668.888529593498,38.13021995745912,5.966479206521512,13.069025953801509,80.27889464284175,"174/C, Velachery, Chennai",2023-07-05
Lucknow,Apartment,1850,4,3,1,1,Semi-Furnished,10+ years,6705739.766938432,23574.429703235295,"Security,Lift,Balcony,Hall,Gym,Semi-Furnished",0,1,0,0,1,1,0,3571.278557670619,14.190738840253447,4.768288536812232,26.826450316983557,80.94162342639923,"87/F, Jankipuram, Lucknow",2024-04-20
Greater Noida,Independent House,3000,6,3,1,0,Semi-Furnished,1-5 years,20708610.50846538,80604.88837587385,"Balcony,Parking,Semi-Furnished,Garden",1,0,0,1,0,0,0,6169.215719672878,20.557519707587023,3.9987292988374374,28.470078226504736,77.48520304311437,"192/G, Sector Zeta, Greater Noida",2025-09-18
Kochi,Apartment,800,3,2,1,1,Furnished,New,4440805.261156093,15794.455166046631,"Security,Lift,Balcony,Hall,Furnished,Gym",0,1,0,0,1,1,0,4712.032540327214,17.984188293345866,4.579982367973293,9.926249188235198,76.24556137418307,"400/H, Panampilly Nagar, Kochi",2025-09-25
Kochi,Independent House,2800,4,2,0,1,Unfurnished,10+ years,13405070.499420915,56070.357246350155,"Hall,Parking,Unfurnished,Garden",1,0,0,1,0,0,0,4961.291145808632,21.879243432038262,5.291987780363702,9.9198612796344,76.2576373193813,"9/B, Thevara, Kochi",2025-09-13
