city,property_type,area,bedrooms,bathrooms,balcony,hall,furnishing,property_age,sale_price,rent_price,amenities,parking,gym,swimming_pool,garden,security,lift,club_house,price_per_sqft,rent_per_sqft,gross_yield,latitude,longitude,address,listing_date
Greater Noida,Apartment,1200,3,2,0,0,Unfurnished,10+ years,5321049.042304519,13508.267218695377,"Security,Lift,Club House,Unfurnished,Gym",0,1,0,0,1,1,1,4532.111721722905,12.589982755430581,3.333540793820794,28.44753511923507,77.52001855772167,"273/E, Sector 4, Greater Noida",2023-01-24
Ahmedabad,Apartment,1850,3,2,0,1,Unfurnished,10+ years,6888711.943388829,35686.05376062735,"Unfurnished,Hall,Security,Lift",0,0,0,0,1,1,0,3813.626689802241,15.72891301755969,4.949277198930657,22.98973784546186,72.5561717924453,"94/C, Ambawadi, Ahmedabad",2025-06-18
Lucknow,Independent House,2900,5,2,0,1,Furnished,5-10 years,14185436.274136804,83814.26950153844,"Hall,Furnished,Parking",1,0,0,0,0,0,0,4815.780592773636,27.320287793902114,6.807690824178615,26.859573857680314,80.98109010751801,"273/B, Hazratganj, Lucknow",2024-01-19
Bengaluru,Studio,650,2,1,1,0,Semi-Furnished,5-10 years,3106986.9761194503,7739.641532016958,"Balcony,Semi-Furnished",0,0,0,0,0,0,0,4449.866257366466,10.269680593670785,2.7694353042642557,12.963850050459747,77.62495751367179,"40/E, BTM Layout, Bengaluru",2024-10-05
Mumbai,Apartment,1300,4,3,0,1,Unfurnished,1-5 years,17946187.05037284,55383.922286909146,"Unfurnished,Hall,Security,Lift",0,0,0,0,1,1,0,10376.07529300019,32.97631945982672,3.81373325022877,19.058406721925547,72.8738684351479,"224/A, Bandra, Mumbai",2023-06-21
Chennai,Apartment,1300,4,3,1,0,Semi-Furnished,10+ years,10579577.992991516,40190.11086364259,"Security,Lift,Balcony,Club House,Semi-Furnished",0,0,0,0,1,1,1,5925.707045106345,24.325289513643543,4.926053075890523,13.070477019200089,80.27740173043034,"189/E, Adyar, Chennai",2023-11-15
Gurugram,Apartment,900,3,2,1,0,Unfurnished,1-5 years,8593427.843425822,23944.497491797385,"Security,Lift,Balcony,Unfurnished,Gym",0,1,0,0,1,1,0,7296.148216913619,24.370516036801845,4.008227132279,28.48192793838395,76.99768567931568,"282/G, Sector 57, Gurugram",2023-07-03
Lucknow,Independent House,2900,6,2,1,0,Furnished,1-5 years,14548287.575320154,50211.88264716662,"Balcony,Furnished,Parking",1,0,0,0,0,0,0,5612.612268806898,21.154627269319118,4.522947873001617,26.84850610442625,80.95979292214287,"41/F, Gomti Nagar, Lucknow",2024-05-14
Delhi,Apartment,1250,3,2,1,1,Unfurnished,1-5 years,16465881.600094995,45892.97937981067,"Security,Lift,Balcony,Hall,Club House,Unfurnished",0,0,0,0,1,1,1,9415.648545986807,32.51973317762379,4.144555696036621,28.6193069390186,77.23067819860954,"396/A, Vasant Kunj, Delhi",2024-10-05
Chandigarh,Independent House,1400,3,2,0,1,Semi-Furnished,10+ years,9286388.935911022,40818.86336889939,"Hall,Parking,Semi-Furnished,Garden",1,0,0,1,0,0,0,5439.508530667846,26.427133860227208,5.830041529207619,30.687148727721784,76.79062478216288,"21/G, Sector 22, Chandigarh",2025-11-12
