city,property_type,area,bedrooms,bathrooms,balcony,hall,furnishing,property_age,sale_price,rent_price,amenities,parking,gym,swimming_pool,garden,security,lift,club_house,price_per_sqft,rent_per_sqft,gross_yield,latitude,longitude,address,listing_date
Noida,Apartment,1900,3,2,1,1,Unfurnished,New,14161208.966624824,40777.52865862521,"Security,Lift,Balcony,Hall,Unfurnished",0,0,0,0,1,1,0,6295.047698856035,17.050900006113327,3.2503455074779293,28.513418042244393,77.38464770718332,"141/H, Sector 62, Noida",2023-06-03
Jaipur,Apartment,1050,2,2,1,1,Semi-Furnished,New,2923215.989788043,15113.008595246061,"Security,Lift,Balcony,Hall,Club House,Semi-Furnished",0,0,0,0,1,1,1,3488.7598961582867,13.841282542732058,4.7608719274629285,26.919443625327112,75.78859309384772,"155/G, Mansarovar, Jaipur",2023-07-05
Delhi,Apartment,2050,5,3,0,1,Semi-Furnished,5-10 years,22301490.240548164,64724.91460120927,"Security,Lift,Hall,Gym,Semi-Furnished",0,1,0,0,1,1,0,7949.9814080413435,21.463398261910495,3.2397658047653453,28.595230884189547,77.21571783189988,"170/E, Rohini, Delhi",2024-11-24
Patna,Apartment,1000,3,2,0,1,Furnished,10+ years,2982994.188875686,7800.562252252227,"Security,Lift,Hall,Furnished,Club House",0,0,0,0,1,1,1,2758.9419049477065,7.020306739343455,3.053477882990009,25.601971815408092,85.14855465750964,"234/C, Ashok Rajpath, Patna",2024-08-21
Greater Noida,Villa,3500,5,3,0,1,Unfurnished,1-5 years,23459540.699093934,137940.2391640535,"Parking,Security,Garden,Hall,Unfurnished,Swimming Pool",1,0,1,1,1,0,0,8725.898505987258,51.19393395862501,7.04027450103827,28.484861007463305,77.53462988446255,"188/H, Sector 4, Greater Noida",2024-12-21
Delhi,Villa,4500,4,3,1,1,Semi-Furnished,10+ years,68929547.03569508,391607.2709896063,"Parking,Security,Garden,Balcony,Hall,Swimming Pool,Semi-Furnished",1,0,1,1,1,0,0,12886.225157912462,76.21194711781635,7.097061817612614,28.608377149748204,77.220983075714,"187/H, Hauz Khas, Delhi",2024-12-12
Ahmedabad,Studio,450,1,1,0,1,Semi-Furnished,New,1421507.2532752168,3363.699396773057,"Hall,Semi-Furnished",0,0,0,0,0,0,0,3225.01919867388,6.945194788552058,2.584243141774004,22.99820477600111,72.59125541525827,"359/H, Satellite, Ahmedabad",2025-04-13
Chandigarh,Apartment,1200,4,3,0,1,Unfurnished,New,7532635.360290013,23824.83595912438,"Security,Lift,Hall,Unfurnished,Gym",0,1,0,0,1,1,0,4971.331851442684,15.184066243812246,3.6651907450690477,30.70332865747572,76.77867688283419,"156/D, Sector 9, Chandigarh",2023-10-09
Noida,Studio,550,2,1,0,0,Unfurnished,1-5 years,2407565.8833815856,5815.648197887199,Unfurnished,0,0,0,0,0,0,0,4130.257706380362,9.953367628474272,2.8918392030885007,28.541576804242077,77.38558637183493,"261/H, Sector 137, Noida",2023-07-09
Patna,Independent House,2550,4,2,1,0,Semi-Furnished,5-10 years,11466803.693652764,51358.93067735442,"Balcony,Parking,Semi-Furnished",1,0,0,0,0,0,0,3738.8354195293246,17.858506503441685,5.7317868799980065,25.60363375980645,85.1514983112658,"492/H, Bailey Road, Patna",2024-03-11
